Kraj;Sprzedawca;Data zamowienia;idZamowienia;Utarg
Niemcy;Peacock;2003-07-12;10250;1552.6
Niemcy;Leverling;2003-07-15;10251;654.06
Niemcy;Peacock;2003-07-11;10252;3597.9
Niemcy;Leverling;2003-07-16;10253;1444.8
Niemcy;Leverling;2003-07-17;10256;517.8
Niemcy;Peacock;2003-07-22;10257;1119.9
Niemcy;Davolio;2003-07-23;10258;1614.88
Niemcy;Peacock;2003-07-25;10259;100.8
Niemcy;Peacock;2003-07-29;10260;1504.65
Niemcy;Peacock;2003-07-30;10261;448.0
Niemcy;Callahan;2003-07-25;10262;584.0
Niemcy;Fuller;2003-08-12;10265;1176.0
Niemcy;Leverling;2003-07-31;10266;346.56
Niemcy;Peacock;2003-08-06;10267;3536.6
Niemcy;Callahan;2003-08-02;10268;1101.2
Niemcy;Davolio;2003-08-02;10270;1376.0
Niemcy;Leverling;2003-08-12;10273;2037.28
Niemcy;Davolio;2003-08-09;10275;291.84
Niemcy;Callahan;2003-08-14;10276;420.0
Niemcy;Fuller;2003-08-13;10277;1200.8
Niemcy;Callahan;2003-08-16;10278;1488.8
Niemcy;Callahan;2003-08-16;10279;351.0
Niemcy;Fuller;2003-09-12;10280;613.2
Niemcy;Peacock;2003-08-21;10281;86.5
Niemcy;Peacock;2003-08-21;10282;155.4
Niemcy;Leverling;2003-08-23;10283;1414.8
Niemcy;Peacock;2003-08-27;10284;1170.37
Niemcy;Davolio;2003-08-26;10285;1743.36
Niemcy;Callahan;2003-08-30;10286;3016.0
Niemcy;Callahan;2003-08-28;10287;819.0
Niemcy;Peacock;2003-09-03;10288;80.1
Niemcy;Callahan;2003-09-03;10290;2169.0
Niemcy;Davolio;2003-09-02;10292;1296.0
Niemcy;Davolio;2003-09-11;10293;848.7
Niemcy;Peacock;2003-09-05;10294;1887.6
Niemcy;Fuller;2003-09-10;10295;121.6
Niemcy;Peacock;2003-09-13;10299;349.5
Niemcy;Fuller;2003-09-18;10300;608.0
Niemcy;Callahan;2003-09-17;10301;755.0
Niemcy;Peacock;2003-10-09;10302;2708.8
Niemcy;Davolio;2003-09-17;10304;954.4
Niemcy;Callahan;2003-10-09;10305;3741.3
Niemcy;Davolio;2003-09-23;10306;498.5
Niemcy;Fuller;2003-09-25;10307;424.0
Niemcy;Leverling;2003-10-23;10309;1762.0
Niemcy;Callahan;2003-09-27;10310;336.0
Niemcy;Davolio;2003-09-26;10311;268.8
Niemcy;Fuller;2003-10-03;10312;1614.8
Niemcy;Fuller;2003-10-04;10313;182.4
Niemcy;Davolio;2003-10-04;10314;2094.3
Niemcy;Peacock;2003-10-03;10315;516.8
Niemcy;Davolio;2003-10-08;10316;2835.0
Niemcy;Callahan;2003-10-04;10318;240.4
Niemcy;Leverling;2003-10-11;10321;144.0
Niemcy;Peacock;2003-10-14;10323;164.4
Niemcy;Davolio;2003-10-14;10325;1497.0
Niemcy;Peacock;2003-10-14;10326;982.0
Niemcy;Fuller;2003-10-14;10327;1810.0
Niemcy;Peacock;2003-10-17;10328;1168.0
Niemcy;Peacock;2003-10-23;10329;4578.43
Niemcy;Leverling;2003-10-28;10330;1649.0
Niemcy;Leverling;2003-10-21;10332;1786.88
Niemcy;Callahan;2003-10-28;10334;144.8
Niemcy;Peacock;2003-10-29;10337;2467.0
Niemcy;Peacock;2003-10-29;10338;934.5
Niemcy;Fuller;2003-11-04;10339;3354.0
Niemcy;Davolio;2003-11-08;10340;2436.18
Niemcy;Peacock;2003-11-04;10342;1840.64
Niemcy;Peacock;2003-11-06;10343;1584.0
Niemcy;Peacock;2003-11-05;10344;2296.0
Niemcy;Fuller;2003-11-11;10345;2924.8
Niemcy;Leverling;2003-11-08;10346;1618.88
Niemcy;Peacock;2003-11-08;10347;814.42
Niemcy;Peacock;2003-11-15;10348;363.6
Niemcy;Davolio;2003-11-20;10351;5398.72
Niemcy;Leverling;2003-11-18;10352;136.3
Niemcy;Callahan;2003-11-20;10354;568.8
Niemcy;Davolio;2003-12-02;10357;1167.68
Niemcy;Peacock;2003-12-02;10360;7390.2
Niemcy;Davolio;2003-12-03;10361;2046.24
